phrase,translation,comment,source,idiom
despite this problem,ამ პრობლემის მიუხედავად,,,
in spite of this problem,ამ პრობლემის მიუხედავად,,,
give me a lift home,გამიყვანე მანქანით სახლში,,,
put me through,გადამრთე (ტელეფონზე),,,
are you having me on?,მეკაიფები?,,,
I can't make him out,"ვერ გამიგია, როგორი ადამიანია ის",,,
beaver,თახვი,,,
6 pack,მუცლის პრესი,,,
sit ups,მუცლის პრესის ვარჯიშები,,,
a means of transport,ტრანსპორტის საშუალება,,,
sack of cornmeal,სიმინდის ფქვილის ტომარა,,,
thrifty,"ეკონომიური, ხელმომჭირნე",,,
it's thanks to you,შენი დამსახურებაა,,,
how come you are here?,როგორ მოხდა რომ აქ ხარ?,,,
squats,ბუქნები,,,
gnaw,ღრღნა,,,
Everything is in a good running (working) order.,ყველაფერი გამართულად მუშაობს.,,,
root for somebody,უგულშემატკივრო ვინმეს,,,
make somebody sit up,"მომართო ვინმე, რომ ყურადღება მოგაქციონ",,,
outright,"სრულიად, პირდაპირ, მაშინვე",,,
clergy,სამღვდელოება,,,
longevity,დღეგრძელობა,,,
peninsula,ნახევარკუნძული,,,
oath,"დაპირება, ფიცი",,,
wing it,რამის გაკეთება წინასწარ მომზადების გარეშე,,,
credibility,სანდოობა,,,
I have no idea,წარმოდგენა არ მაქვს,,,
I have no clue,წარმოდგენა არ მაქვს,,,
the countryside,ქალაქგარეთ,,,
pickpocket,ჯიბის ქურდი,,,
rib,ნეკნი,,,
lame,კოჭლი,,,
moderation,ზომიერება,,,
whim,კაპრიზი,,,
butler,უფროსი მოსამსახურე,,,
caregiver,მომვლელი,,,
ministry,მსახურება (სასულიერო პირის),,,
central heating,ცენტრალური გათბობა,,,
liver,ღვიძლი,,,
nuclear energy,ბირთვული ენერგია,,,
let's summarize,მოდი შევაჯამოთ,,,
all by myself,სულ მარტო,,,
Have you known this person long?,დიდი ხანია ამ ადამიანს იცნობ?,,,
chew,დაღეჭვა,,,
digest,"მონელება, გადამუშავება",,,
exercise bike,სავარჯიშო ველოსიპედი,,,
skunk,სკუნსი,,,
exhausted,"გადაღლილი, დაქანცული",,,
worn out,"გადაღლილი, დაქანცული",,,
weary,"გადაღლილი, დაქანცული",,,
repel,განზიდვა,,,
attract,მიზიდვა,,,
demanding,მომთხოვნი,,,
How at risk are you?,რამდენად რისკში ხარ?,,,
come up to sb's expectations,გაამართლო ვინმეს მოლოდინები,,,
meet sb's expectations,გაამართლო ვინმეს მოლოდინები,,,
bullying boss,მოძალადე უფროსი,,,
backstabbing colleagues,"""ზურგში დანის ჩამრტყმელი"" თანამშრომლები",,,
pace,ტემპი,,,
hectic,"გადატვირთული, დაძაბული",,,
tight deadlines,მჭიდრო დედლაინები,,,
recuperate,"გამოჯანმრთელება, ძალების აღდგენა",,,
recover from,"გამოჯანმრთელება, ძალების აღდგენა",,,
bound up,გადაჯაჭვული,,,
at all/any cost,ნებისმიერ ფასად,,,
at any price,ნებისმიერ ფასად,,,
discuss sth in detail,რამის დეტალურად განხილვა,,,
say no to sb,უარი უთხრა ვინმეს,,,
refuse the offer,შემოთავაზების უარყოფა,,,
turn down the offer,შემოთავაზების უარყოფა,,,
decline the offer,შემოთავაზების უარყოფა,,,
jump in with a question,ჩახტე საუბარში შეკითხვით,,,
butt in with a question,ჩახტე საუბარში შეკითხვით,,,
